Link Name,Mass,CoM X,CoM Y,CoM Z,Inertia Ixx,Inertia Ixy,Inertia Ixz,Inertia Iyy,Inertia Iyz,Inertia Izz
L0_torso,7.7539787,0.0004462,0.003737,0.0515986,0.0409264,-0.0005256,-0.0010226,0.0900137,0.0002725,0.1095425
Lfl1_hipr,0.1078132,0.0241721,-0.0180869,1.6e-06,0.0000822,0.0000067,0,0.00009,0,0.0000894
Lfl2_hipp,1.5103546,-0.0200519,0.0841367,0.0025283,0.0039293,0.0018799,0.0003603,0.0048823,-0.0002467,0.0078578
Lfl3_knee,0.3694785,0.1119741,0.0,-0.0399087,0.0005015,0,0.0008986,0.0025533,0,0.0020826
Lfl4_foot,0.0860024,5e-07,-8.5e-06,-0.0089716,0.0000282,0,0,0.0000287,0,0.0000335
Lfr1_hipr,0.1078132,0.0241721,0.0180869,-1.6e-06,0.0000822,-0.0000067,0,0.00009,0,0.0000894
Lfr2_hipp,1.5103509,-0.020052,-0.0841366,0.0026461,0.0039284,-0.0018799,0.0003634,0.0048813,0.0002345,0.0078577
Lfr3_knee,0.3694785,0.1119741,0.0,-0.0399087,0.0005015,0,0.0008986,0.0025533,0,0.0020826
Lfr4_foot,0.0860024,5e-07,-8.5e-06,-0.0089716,0.0000282,0,0,0.0000287,0,0.0000335
Lrl1_hipr,0.1078132,-0.0241721,-0.0180869,-1.6e-06,0.0000822,-0.0000067,0,0.00009,0,0.0000894
Lrl2_hipp,1.5103546,-0.0200519,0.0841367,0.0025283,0.0039293,0.0018799,0.0003603,0.0048823,-0.0002467,0.0078578
Lrl3_knee,0.3694785,0.1119741,0.0,-0.0399087,0.0005015,0,0.0008986,0.0025533,0,0.0020826
Lrl4_foot,0.0860024,5e-07,-8.5e-06,-0.0089716,0.0000282,0,0,0.0000287,0,0.0000335
Lrr1_hipr,0.1078132,-0.0241721,0.0180869,1.6e-06,0.0000822,0.0000067,0,0.00009,0,0.0000894
Lrr2_hipp,1.5103509,-0.020052,-0.0841366,0.0026461,0.0039284,-0.0018799,0.0003634,0.0048813,0.0002345,0.0078577
Lrr3_knee,0.3694785,0.1119741,0.0,-0.0399087,0.0005015,0,0.0008986,0.0025533,0,0.0020826
Lrr4_foot,0.0860024,5e-07,-8.5e-06,-0.0089716,0.0000282,0,0,0.0000287,0,0.0000335
